Sample_Name,grain,Spot number,FWHM,raman_shift
ME8,Z3,7,9,1003.3
ME8,Z3,8,10.3,1002.7
ME8,Z3,9,8.9,1003
ME8,Z3,10,10.8,1002.2
ME8,Z3,11,14.3,998.3
ME8,Z4,1,19.1,997.7
ME8,Z4,2,12.3,1001.1
ME8,Z4,3,5.7,1005.2
ME8,Z4,4,7.2,1004.9
ME8,Z4,5,9.5,1002.8
ME8,Z4,6,9.6,1003.1
ME8,Z4,7,16.8,998.4
ME8,Z4,8,8.2,1003.5
ME8,Z4,9,7.5,1004.4
ME8,Z4,10,11,1000.5
ME8,Z12,1,17.7,998.9
ME8,Z12,2,17.1,997.8
ME8,Z12,3,26.7,997.6
ME8,Z12,4,22.6,998.6
ME8,Z12,5,23.8,1001.7
ME8,Z14,1,8.9,1002.5
ME8,Z14,2,7.7,1004.4
ME8,Z14,3,9.2,1003.7
ME8,Z14,4,8.9,1003.8
ME8,Z14,5,12.1,1000.6
ME8,Z14,6,13,1001.4
ME8,Z14,7,10.5,1002.9
ME8,Z14,8,8.1,1004.1
ME8,Z14,9,7.6,1004.3
ME8,Z14,10,6.9,1004.2
ME8,Z14,11,8.5,1002.9
ME8,Z15,1,17.2,998.8
ME8,Z15,2,13.4,1000.5
ME8,Z15,3,9.4,1003.8
ME8,Z15,4,8.7,1003.7
ME8,Z15,5,8.9,1003.5
ME8,Z15,6,7.7,1003.8
ME8,Z15,7,9.1,1002.9
ME8,Z15,8,8.1,1003.6
ME8,Z15,9,9.4,1002.7
ME8,Z15,10,10.6,1001.5
ME8,Z16,1,8.9,1003.7
ME8,Z16,2,12,1002.4
ME8,Z16,3,15.9,1002.2
ME8,Z16,6,34.2,998.9
ME8,Z17,1,11.6,1002
ME8,Z17,2,7.9,1004.7
ME8,Z17,3,7.5,1004.5
ME8,Z17,4,11.8,1002.8
ME8,Z17,5,14.7,1001.6
ME8,Z17,6,12.6,1003.1
ME8,Z17,7,7.6,1004.2
ME8,Z17,8,7,1005.3
ME8,Z17,9,6,1005.1
ME8,Z17,10,6.5,1004.7
ME8,Z17,11,7.1,1004.7
ME8,Z17,12,6.6,1004.6
ME8,Z18,1,18.2,998.3
ME8,Z18,2,17.2,998.5
ME8,Z18,3,10.5,1002.2
ME8,Z18,4,7.4,1005
ME8,Z18,5,8.3,1004.1
ME8,Z18,6,8.1,1003.7
ME8,Z18,7,6.6,1004.6
ME8,Z18,8,7.6,1004.2
ME8,Z18,9,7.6,1004.2
ME8,Z18,10,7.3,1004.2
ME8,Z18,11,7,1004.4
ME8,Z18,12,9.4,1002.5
ME8,Z18,13,10.5,1003.3
ME8,Z19,1,8,1004.1
ME8,Z19,2,7.3,1004.6
ME8,Z19,3,6.2,1005
ME8,Z19,4,6.2,1005.5
ME8,Z19,5,7.7,1003.8
ME8,Z19,6,7,1005.2
ME8,Z19,7,8.5,1004
ME8,Z19,8,10.8,1003
ME8,Z19,9,7.8,1003.5
ME8,Z19,10,11.5,1000.8
ME8,Z20,1,11.9,1001.4
ME8,Z20,2,8.4,1003.5
ME8,Z20,3,7.8,1004.2
ME8,Z20,4,7.4,1004.9
ME8,Z20,5,10.1,1003.3
ME8,Z20,7,14.3,1000
ME8,Z20,8,16.5,998.3
ME8,Z20,9,21,999.1
ME8,Z20,10,15.7,998.7
ME8,Z21,1,15.7,998.9
ME8,Z21,2,12.6,1000.8
ME8,Z21,3,9.5,1002.3
ME8,Z21,4,12.7,1001.6
ME8,Z21,5,12.3,1000.3
ME8,Z21,6,13.4,1000.8
ME8,Z21,7,15,999.9
ME8,Z21,8,17,1000.3
ME8,Z21,9,12.9,1000.4
ME8,Z21,10,16.2,998.4
ME8,Z21,11,14.6,998.8
ME8,Z21,12,15.6,999
ME8,Z22,1,10.7,1001.5
ME8,Z22,2,9.5,1002.8
ME8,Z22,3,8.5,1002.6
ME8,Z22,4,9.2,1003
ME8,Z22,5,7.5,1003.6
ME8,Z22,6,8.5,1002.3
ME8,Z22,7,10.9,1001.5
ME8,Z22,8,9,1003.2
ME8,Z22,9,8,1003.3
ME8,Z22,10,9.4,1002.3
ME8,Z23,1,14.1,1000.1
ME8,Z23,2,9,1003.1
ME8,Z23,3,9.7,1003.2
ME8,Z23,4,7.8,1004.5
ME8,Z23,5,10.1,1003
ME8,Z23,6,7.9,1004.7
ME8,Z23,7,7.1,1004.6
ME8,Z23,8,9.9,1002.4
ME8,Z23,9,13.2,1001.2
ME8,Z23,10,16.5,1000.6
ME8,Z24,1,14.5,1000.2
ME8,Z24,2,13.9,1000.4
ME8,Z24,3,10.5,1002.3
ME8,Z24,4,6.8,1004.5
ME8,Z24,5,12.6,1003.5
ME8,Z24,6,11.8,1001.4
ME8,Z24,7,11.3,1001.3
ME8,Z24,8,16.8,999.6
ME8,Z24,9,7.2,1003.2
ME8,Z24,10,11.4,1002.2
ME8,Z24,11,14.9,999.5
ME8,Z24,12,14.4,999.4
ME8,Z25,5,14.2,1000.3
ME8,Z25,6,16.2,998.9
ME8,Z26,1,15.4,1000.8
ME8,Z26,2,9.4,1003.3
ME8,Z26,3,7.2,1004
ME8,Z26,4,8.5,1004.3
ME8,Z26,5,9.9,1003.7
ME8,Z26,6,10.3,1002.1
ME8,Z27,1,11.1,1001.7
ME8,Z27,2,9.5,1001.3
ME8,Z27,3,10,1002.2
ME8,Z27,4,10.1,1002.6
ME8,Z27,5,10.6,1002.8
ME8,Z27,6,11.4,1003.1
ME8,Z27,7,11.1,1003.1
ME8,Z27,8,10.6,1002.8
ME8,Z27,9,8.9,1003
ME8,Z27,10,8.2,1003.6
ME8,Z28,1,15.1,1000.1
ME8,Z28,2,13.6,1000.9
ME8,Z28,3,14.1,1000.6
ME8,Z28,4,12.3,1002.4
ME8,Z28,5,8.1,1003.9
ME8,Z28,6,13.6,1000.2
ME8,Z28,7,16.2,998.3
ME8,Z29,1,9.1,1002.7
ME8,Z29,2,8.8,1003.4
ME8,Z29,3,13.7,1001.1
ME8,Z29,4,10.7,1001.4
ME8,Z29,5,8.6,1003.1
ME8,Z29,6,9.1,1002.9
ME8,Z29,7,13.9,1001.6
ME8,Z29,8,10.7,1001.3
ME8,Z8,1,6.7,1004.5
ME8,Z8,2,6.8,1004.5
ME8,Z8,3,8.2,1004
ME8,Z8,4,16.1,1001.6
ME8,Z8,5,11.9,1001.7
ME8,Z8,6,8.9,1003.2
ME8,Z8,7,9.9,1003
ME8,Z8,8,13.1,1001.2
ME8,Z8,9,9.8,1002.5
ME8,Z8,10,7.7,1004.6
ME1,Z10,1,17.6,1000.2
ME1,Z10,3,34.8,996.7
ME1,Z10,4,18.3,998.4
ME1,Z10,6,18,997.4
ME1,Z10,7,19.7,995.8
ME1,Z10,8,15.3,997.4
ME1,Z10,9,20.7,998.2
ME1,Z10,10,19.2,997.1
ME1,Z10,1,22.7,995.1
ME1,Z10,2,17,997.8
ME1,Z10,3,13.4,997.2
ME1,Z12,1,27.2,996.4
ME1,Z12,2,13.8,1000
ME1,Z12,4,20.3,1001.2
ME1,Z12,5,13.6,1000
ME1,Z12,6,15.7,997.9
ME1,Z12,7,11.2,1002.7
ME1,Z12,8,15.2,998.7
ME1,Z12,1,16.3,999
ME1,Z12,2,15.3,999.1
ME1,Z13,2,15.3,998.6
ME1,Z13,3,15.2,1000.2
ME1,Z13,4,27,997.6
ME1,Z13,5,17.2,1000.2
ME1,Z13,1,17.4,998.6
ME1,Z13,2,12.5,1001
ME1,z16,1,24.2,999
ME1,z16,2,10.3,1002.3
ME1,z16,4,36,997.2
ME1,z16,5,18.8,999.4
ME1,z16,8,16.1,1001.3
ME1,z16,9,15.8,999.2
ME1,z16,10,21.3,997
ME1,Z19,1,15.4,998.6
ME1,Z19,2,20.7,997.2
ME1,Z19,3,13.7,1000.6
ME1,Z19,4,18.4,1000.6
ME1,Z19,5,17.6,999.9
ME1,Z19,6,24.5,998.3
ME1,Z19,7,17.9,998
ME1,Z19,8,19.8,997
ME1,Z19,9,19.1,997.3
ME1,Z19,10,24.7,997
ME1,Z19,11,24.2,995.6
ME1,Z21,1,20.1,997.2
ME1,Z21,2,23.5,996.3
ME1,Z21,3,12.7,1000.8
ME1,Z21,4,15.2,997.7
ME1,Z21,5,12.4,1001.5
ME1,Z21,6,12.5,1001.5
ME1,Z21,7,11.5,1001
ME1,Z21,8,14.5,998.5
ME1,Z21,9,16.3,1001
ME1,Z21,10,24,997.6
ME1,Z21,11,17.8,996.4
ME1,Z22,1,23.5,996.9
ME1,Z22,2,17.5,998.4
ME1,Z22,5,23.2,995
ME1,Z22,6,29.9,995.2
ME1,Z23,1,12.8,1000.1
ME1,Z23,2,12.6,1000.6
ME1,Z23,3,13.1,1000.3
ME1,Z23,4,13.5,1001.1
ME1,Z23,5,13,1001
ME1,Z23,6,13.1,1001
ME1,Z24,1,25,996.1
ME1,Z24,2,19.8,996.8
ME1,Z24,3,18.3,996.2
ME1,Z24,4,22.4,996.5
ME1,Z24,5,19.4,996.3
ME1,Z24,6,26.6,996.6
ME1,Z24,8,12.7,1000.2
ME1,Z24,9,19.9,995.8
ME1,Z24,10,17,998.2
ME1,Z29,1,27,996.8
ME1,Z29,2,12.9,1000.1
ME1,Z29,3,11.9,1002.3
ME1,Z29,4,26.3,994.9
ME1,Z29,5,29.3,996.7
ME1,Z29,6,23.7,997.4
ME1,Z29,7,12.8,1003.4
ME1,Z29,8,10.7,1000.3
ME1,Z29,9,16.4,998.4
ME1,Z29,10,15.1,998.3
ME1,Z29,11,16.5,998.3
ME1,Z29,12,15,999.5
ME1,Z29,13,17.3,998.6
ME1,Z30,1,22.4,995.8
ME1,Z30,2,23.9,998.5
ME1,Z30,3,20.4,997.2
ME1,Z30,4,21.3,996.3
ME1,Z30,5,20.8,996.9
ME1,Z30,6,20.2,996.5
ME1,Z30,7,20.7,998.3
ME1,Z30,8,20.6,996
ME1,Z30,9,14,1001.1
ME1,Z30,10,12.8,1000.2
ME1,Z31,1,18.5,997.1
ME1,Z31,2,15.7,998.2
ME1,Z31,3,19.7,996.6
ME1,Z31,4,16.4,999.9
ME1,Z31,5,10,1001.1
ME1,Z31,6,13.8,999.1
ME1,Z31,7,16.5,999.2
ME1,Z31,8,23.4,996.1
ME1,Z31,9,23.7,998.4
ME1,Z32,1,12.5,999.4
ME1,Z32,2,15.4,999.3
ME1,Z32,3,19.5,997.7
ME1,Z32,4,12.8,997.7
